milestone,issue_id,title,priority,owner_role,primary_docs,acceptance_criteria,dependencies
M3,M3-08,Approved-revision export integration,P0,Backend,OpenAPI;exports,Only approved revisions exported,"M1-06,M3-06"
M4,M4-01,Authentication and tenant isolation,P0,Security/Backend,05_SECURITY_PRIVACY,Cross-tenant tests fail closed,M3
M4,M4-02,Private object storage,P0,Infra,05_SECURITY_PRIVACY,Short-lived authenticated access,M2-01
M4,M4-03,Retention and deletion verifier,P0,Backend/Infra,07_OPERATIONS_RUNBOOK,All object classes reconciled,M4-02
M4,M4-04,Content-free logging proof,P0,Security,05_SECURITY_PRIVACY,Canary data absent from logs/errors,"M2.5,M3"
M4,M4-05,Quotas spend limits circuit breaker,P0,Backend/Infra,07_OPERATIONS_RUNBOOK,Ceiling pauses external calls safely,M2.5-05
M4,M4-06,Deploy web job database and backups,P0,Infra,03_TECHNICAL_ARCHITECTURE,Pilot environment healthy,"M4-01,M4-02"
M4,M4-07,Restore and recovery drills,P0,Infra,07_OPERATIONS_RUNBOOK,Evidence recorded and targets met,M4-06
M4,M4-08,Privacy residency launch approval,P0,Security,05_SECURITY_PRIVACY,Checklist signed,"M0-07,M4-03,M4-04"
M4,M4-09,Security CI and upload abuse suite,P0,Security,05_SECURITY_PRIVACY,Brakeman/dependency/upload tests pass,M4-01
M5,M5-01,First supervised 50-document batch,P0,Pilot,Pilot Scorecard,Batch completes end-to-end,M4
M5,M5-02,Correction taxonomy and root causes,P0,Data/Product,06_EVALUATION_TEST_PLAN,Every correction categorized,M5-01
M5,M5-03,Two-week 500-document pilot,P0,Pilot,Pilot report,Volume target completed,M5-01
M5,M5-04,Measure safety speed and cost gates,P0,Data/Product,Workbook dashboard,Release metrics computed,M5-03
M5,M5-05,Regression after every change,P0,Data/Engineering,Benchmark reports,Frozen holdout never bypassed,M5-02
M5,M5-06,Operator debrief and willingness to pay,P0,Founder/Product,09_BUSINESS_VALIDATION,Commercial signal recorded,M5-03
M5,M5-07,Go iterate stop decision,P0,Founder,Decision record,Evidence-backed decision,"M5-04,M5-06"
M6,M6-01,Choose one post-MVP regional or structured capability,P0,Founder/Product,08_DELIVERY_PLAN;region_backlog.csv,Pilot evidence selects one capability and rejects parallel expansion,M5-07
M6,M6-02,Acquire official schemas validators and permitted fixtures,P0,Backend/Data,11_RESEARCH_SOURCES;15_FORMAT_SUPPORT_MATRIX,Exact versions and redistributable regression fixtures recorded,M6-01
M6,M6-03,Implement versioned adapter or regional rule pack,P0,Backend,14_GLOBALIZATION_STRATEGY;region_profile.schema.json,Feature-flagged implementation maps to Canonical Invoice v2 without core schema pollution,M6-02
M6,M6-04,Build independent holdout and conformance regression,P0,Data/Backend,06_EVALUATION_TEST_PLAN;acceptance_criteria.md,Named profile passes its independent extraction semantic or conformance gate,M6-03
M6,M6-05,Publish capability statement rollout and rollback plan,P0,Product/Infra,15_FORMAT_SUPPORT_MATRIX;07_OPERATIONS_RUNBOOK,Capability matrix updated and pilot release can be disabled without affecting global core,M6-04
