fixture_id,file,kind,split,document_type,currency,country,expected_route,expected_status,ground_truth,expected_findings,notes,sha256
INV-016,documents/pdf/inv-016_ambiguous_invoice_number.pdf,visual_pdf,functional,invoice,AED,AE,visual_model,needs_review,ground_truth/INV-016.json,expected_findings/INV-016.json,Ambiguous invoice number,fe80089c37242abb917ae123db6f71df256d86cec97059ae9e65cc2fe0cf41b3
INV-017A,documents/pdf/inv-017a_duplicate_candidate_original.pdf,visual_pdf,functional,invoice,CAD,CA,visual_model,ready_for_approval,ground_truth/INV-017A.json,expected_findings/INV-017A.json,Duplicate candidate original,ac9266f0a4fa3af705da93d514a6728dea19b400318d753888192543b6c8b505
INV-017B,documents/pdf/inv-017b_duplicate_candidate_copy.pdf,visual_pdf,functional,invoice,CAD,CA,visual_model,needs_review,ground_truth/INV-017B.json,expected_findings/INV-017B.json,Duplicate candidate copy,4494b4824d6d2bd3deeb2980719168e6900e1d9de9560909cb05b62faf6ee7e5
IMG-001,documents/images/IMG-001_blurred_low_resolution_scan.jpg,image,functional,invoice,GBP,GB,visual_model,needs_review,ground_truth/IMG-001.json,expected_findings/IMG-001.json,LOW_IMAGE_QUALITY,6efc473b3a4f5dbacdceb06ba941d10d86362626a0540062ad237a204520fd4c
IMG-002,documents/images/IMG-002_rotated_90_degrees.png,image,functional,invoice,EUR,DE,visual_model,needs_review,ground_truth/IMG-002.json,expected_findings/IMG-002.json,ROTATION_DETECTED,e6d00f204dc712df8dd2c6cf38b1f867333a6dfd5d2b3906043ea6e55d3f7afd
IMG-003,documents/images/IMG-003_phone_photo_skew.jpg,image,functional,invoice,INR,IN,visual_model,needs_review,ground_truth/IMG-003.json,expected_findings/IMG-003.json,PERSPECTIVE_SKEW,2417046f9fc3799d385a4478a59d8a540162354e1323c657bde968732c141e8e
IMG-004,documents/images/IMG-004_receipt.png,image,functional,receipt,USD,US,visual_model,ready_for_approval,ground_truth/IMG-004.json,expected_findings/IMG-004.json,clean image fixture,edca0c0213c8e824a4ddb990f16242ca1b61c242b2bc40ad508eaeab23ec4ff0
IMG-005,documents/images/IMG-005_multipage_invoice.tiff,image,functional,invoice,EUR,DE,visual_model,ready_for_approval,ground_truth/IMG-005.json,expected_findings/IMG-005.json,clean image fixture,c7c5a8d7d78e64f6ab5a97f5072df97cb97e574b369b8e5a505067119306c3a7
XML-001,documents/structured/XML-001_synthetic_ubl_invoice.xml,ubl_xml,functional,invoice,EUR,DE,structured_parser,ready_for_approval,ground_truth/XML-001.json,expected_findings/XML-001.json,Synthetic UBL-shaped functional fixture; not an official conformance sample,11ac33ba2f6bca0b191a9add898459a63c52b4cfdd29ac0b66e3f4608d19d121
XML-002,documents/structured/XML-002_unknown_profile.xml,unknown_xml,negative,unknown,UNKNOWN,UNKNOWN,quarantine,quarantined,,expected_findings/XML-002.json,Unknown XML must not silently fall back to vision,69b5f9ceee17decf31ca8f2fa3a09ac6257178f8a3d03a55c5dd7ea0abe4e383
HYB-001,documents/pdf/HYB-001_hybrid_pdf_with_embedded_ubl.pdf,hybrid_pdf_xml,functional,invoice,EUR,DE,hybrid_compare,ready_for_approval,ground_truth/HYB-001.json,expected_findings/HYB-001.json,PDF with embedded synthetic UBL attachment,9c97c852769406795953cbc2d29bafd5eacfbbf1577054c2185766e3a5fc00b2
BAD-001,documents/unsafe/BAD-001_password_protected.pdf,unsafe_input,negative,unknown,UNKNOWN,UNKNOWN,quarantine,quarantined,,expected_findings/BAD-001.json,Password-protected PDF must be rejected without password cracking,1d954e8a7d66e4a80bae2b689ffd5965ab4564a5514701b2db2257c2c26a5398
BAD-002,documents/unsafe/BAD-002_truncated_corrupt.pdf,unsafe_input,negative,unknown,UNKNOWN,UNKNOWN,quarantine,quarantined,,expected_findings/BAD-002.json,Truncated PDF must fail safely,1e62d09dcf74ed7d9354aab8a185a3268b1cd4387cd426388651380ad6ab9db5
BAD-003,documents/unsafe/BAD-003_extension_mismatch.pdf,unsafe_input,negative,unknown,UNKNOWN,UNKNOWN,quarantine,quarantined,,expected_findings/BAD-003.json,Extension and magic bytes disagree,bfe5b48e6d0901625228e30e96b9eece02626d79593e88d7c990abe5b1076fae
